%$Well : Cockburn1 : 04/04/2013 13:01:25
%DEPTH      PERM_F1    PHI        
%M          mD         Dec        
313.0296   2038.2576  0.2697     
313.1820   1975.5289  0.2689     
313.3344   1916.1998  0.2681     
313.4868   1861.5404  0.2673     
313.6392   1800.3781  0.2664     
313.7916   1733.4342  0.2654     
313.9440   1670.5117  0.2644     
314.0964   1605.0337  0.2634     
314.2488   1540.8065  0.2623     
314.4012   1475.5865  0.2612     
314.5536   1419.3474  0.2601     
314.7060   1381.8000  0.2594     
314.8584   1359.5996  0.2590     
315.0108   1342.3818  0.2587     
315.1632   1331.0687  0.2585     
315.3156   1306.2897  0.2580     
315.4680   1275.0627  0.2574     
315.6204   1241.3380  0.2567     
315.7728   1217.2008  0.2562     
315.9252   1198.9370  0.2558     
316.0776   1184.9111  0.2555     
316.2300   1177.9846  0.2553     
316.3824   1182.2340  0.2554     
316.5348   1197.4642  0.2558     
316.6872   1208.3635  0.2560     
316.8396   1194.7018  0.2557     
316.9920   1177.8595  0.2553     
317.1444   1160.7943  0.2550     
317.2968   1144.1501  0.2546     
317.4492   1123.7999  0.2541     
317.6016   1096.8835  0.2535     
317.7540   1073.5042  0.2530     
317.9064   1053.1033  0.2525     
318.0588   1044.4392  0.2523     
318.2112   1038.2345  0.2521     
318.3636   1031.0345  0.2520     
318.5160   1020.6306  0.2517     
318.6684   1010.0280  0.2514     
318.8208   1006.6777  0.2514     
318.9732   1008.4897  0.2514     
319.1256   1011.1214  0.2515     
319.2780   1007.0382  0.2514     
319.4304   995.9669   0.2511     
319.5828   983.0165   0.2508     
319.7352   966.5724   0.2503     
319.8876   947.6793   0.2498     
320.0400   928.3474   0.2493     
320.1924   908.5176   0.2488     
320.3448   889.9514   0.2483     
320.4972   875.1359   0.2479     
320.6496   859.8943   0.2474     
320.8020   842.2014   0.2469     
320.9544   828.0854   0.2465     
321.1068   811.7489   0.2460     
321.2592   797.5699   0.2456     
321.4116   778.4762   0.2450     
321.5640   756.7963   0.2443     
